iso,SID,P_2019,GR_SID,area
vnm,3210,13701,185,1244
vnm,3207,10482,185,816
vnm,3202,12937,185,632
vnm,3216,7324,185,700
vnm,3205,10979,185,454
vnm,3212,7737,185,671
vnm,3203,16712,185,1402
vnm,3213,9530,185,851
vnm,3215,9797,185,622
vnm,3211,11762,185,1067
vnm,3160,18514,183,1022
vnm,3172,13200,183,720
vnm,3176,9086,183,646
vnm,3168,9664,183,597
vnm,3161,9516,183,846
vnm,3166,10050,183,728
vnm,3173,21238,183,746
vnm,3162,11610,183,790
vnm,3163,12149,183,940
vnm,3165,8355,183,736
vnm,3170,11624,183,909
vnm,3175,11063,183,501
vnm,3169,11628,183,682
vnm,3164,33367,183,1162
vnm,9912,7773,604,630
vnm,9913,11213,604,823
vnm,9938,2529,604,226
vnm,9914,6941,604,1029
vnm,9911,12661,604,1128
vnm,9900,12837,604,394
vnm,9915,5628,604,620
vnm,9901,9774,604,636
vnm,9906,3221,604,28
vnm,9908,1424,604,20
vnm,9907,3201,604,41
vnm,9904,4027,604,45
vnm,9905,4482,604,54
vnm,9903,8095,604,199
vnm,9909,7860,604,191
vnm,9902,7418,604,241
vnm,9910,13627,604,1327
vnm,10035,10736,610,1805
vnm,10043,7110,610,773
vnm,10039,9750,610,1884
vnm,10044,10075,610,1271
vnm,10038,5967,610,1456
vnm,10033,9027,610,1682
vnm,10028,6572,610,1246
vnm,10045,16803,610,1213
vnm,10027,9760,610,1621
vnm,10036,8288,610,1331
vnm,10022,10150,610,646
vnm,10026,6426,610,1387
vnm,10024,6588,610,1899
vnm,10030,6026,610,1107
vnm,10029,4943,610,1109
vnm,10034,6657,610,1227
vnm,10032,5089,610,1224
vnm,10031,3694,610,615
vnm,10037,5693,610,1250
vnm,10023,2441,610,1337
vnm,10041,9116,610,1018
vnm,10025,11337,610,2317
vnm,10042,6137,610,731
vnm,10040,5159,610,935
vnm,10002,9830,609,510
vnm,10016,10731,609,309
vnm,10014,8346,609,791
vnm,10009,5428,609,1267
vnm,10018,7854,609,758
vnm,10012,8209,609,1258
vnm,10011,6638,609,1086
vnm,10004,5344,609,638
vnm,10005,5660,609,744
vnm,10015,6529,609,1769
vnm,10006,5029,609,725
vnm,10010,3997,609,853
vnm,10003,3251,609,698
vnm,10020,8878,609,1174
vnm,10017,8022,609,1536
vnm,10013,6802,609,1641
vnm,10021,7350,609,1558
vnm,10019,8049,609,1341
vnm,10008,4857,609,948
vnm,10007,5656,609,991
vnm,9939,8169,606,698
vnm,9943,11505,606,1437
vnm,9950,7151,606,1125
vnm,9944,14852,606,2227
vnm,9940,9360,606,1108
vnm,9945,7087,606,1001
vnm,9941,11221,606,1188
vnm,9947,11434,606,1829
vnm,9942,8816,606,1220
vnm,9949,6127,606,912
vnm,9948,15081,606,1750
vnm,9934,6705,605,686
vnm,9932,4178,605,381
vnm,9919,9638,605,1182
vnm,9925,6025,605,710
vnm,9916,4602,605,360
vnm,9921,3916,605,491
vnm,9920,4743,605,517
vnm,9935,9068,605,1344
vnm,9924,9982,605,638
vnm,9923,7649,605,1175
vnm,9922,9684,605,1332
vnm,9931,6118,605,965
vnm,9918,15573,605,1420
vnm,9930,5299,605,766
vnm,9937,5191,605,552
vnm,9926,10240,605,1274
vnm,9929,12284,605,2134
vnm,9917,11150,605,810
vnm,9927,6245,605,1041
vnm,9933,7174,605,1077
vnm,9936,13764,605,1691
vnm,9928,5761,605,1085
vnm,9991,8713,608,1684
vnm,9996,9617,608,1896
vnm,9988,8066,608,2972
vnm,9984,9036,608,2039
vnm,9980,9529,608,1345
vnm,10001,6557,608,1284
vnm,10000,10517,608,2170
vnm,9993,4596,608,685
vnm,9994,7243,608,1297
vnm,9985,10608,608,1780
vnm,9987,6289,608,1136
vnm,9986,4691,608,723
vnm,9983,7966,608,692
vnm,9982,4002,608,1090
vnm,9981,6066,608,1063
vnm,9992,8289,608,1482
vnm,9990,7533,608,1218
vnm,9995,6620,608,1102
vnm,9998,6988,608,1392
vnm,9997,10195,608,2006
vnm,9999,9490,608,1487
vnm,9989,6046,608,1135
vnm,9959,8104,612,1417
vnm,9951,8456,612,1505
vnm,9968,10784,612,1321
vnm,9963,12133,612,1770
vnm,9946,5450,612,996
vnm,9956,7702,612,942
vnm,9962,7580,612,1220
vnm,9955,6850,612,1206
vnm,9957,12847,612,1827
vnm,9960,6394,612,1390
vnm,9954,7944,612,1212
vnm,9958,7624,612,1075
vnm,9953,10662,612,1442
vnm,9971,10408,607,1690
vnm,9969,11845,607,1524
vnm,9974,7179,607,1304
vnm,9967,6284,607,848
vnm,9970,3519,607,560
vnm,9978,11588,607,2067
vnm,9961,9626,607,1418
vnm,9964,8150,607,1885
vnm,9979,10686,607,2291
vnm,9952,10583,607,502
vnm,9976,8324,607,1762
vnm,9977,4860,607,1029
vnm,9966,6240,607,1096
vnm,9965,7029,607,205
vnm,9973,7548,607,1544
vnm,9975,9890,607,1721
vnm,9972,8859,607,1119
vnm,10055,5626,611,929
vnm,10060,5730,611,421
vnm,10058,7390,611,1275
vnm,10052,4180,611,449
vnm,10057,9085,611,1111
vnm,10056,7962,611,1359
vnm,10048,5193,611,1138
vnm,10061,6198,611,554
vnm,10054,7941,611,1827
